ORDER	FINISH_DATE	PRODUCTION_FS	USAGE
0001035806	20160602	114665.000000	-1457801.000000
0001035685	20160526	134577.000000	-1574326.000000
0001035435	20160510	207474.000000	-2513491.000000
0001035274	20160503	293736.000000	-3436220.000000
0001035155	20160429	60096.000000	-872697.000000
0001035153	20160428	85176.000000	-1406896.000000
0001035103	20160427	52847.000000	-618226.000000
0001035099	20160426	62714.000000	-733648.000000
0001034944	20160417	335137.000000	-3919317.000000
0001034612	20160401	260819.000000	-3136799.000000
0001034212	20160309	136341.000000	-1594963.000000
0001034060	20160228	135257.000000	-1582283.000000
0001033945	20160218	61413.000000	-768597.000000
0001033706	20160130	214282.000000	-2507904.000000
0001033661	20160121	111465.000000	-1102982.000000
0001033514	20160117	95519.000000	-1190403.000000
0001033282	20160101	87662.000000	-1025501.000000
0001033162	20151221	26252.000000	-34859.000000
0001033054	20151218	242045.000000	-2818088.000000
0001032909	20151207	264569.000000	-3099616.000000
0001032883	20151206	119130.000000	-1398183.000000
0001032481	20151103	92031.000000	-1076611.000000
0001032378	20151029	145383.000000	-1756949.000000
0001032144	20151018	136722.000000	-1076328.000000
0001032003	20151011	143106.000000	-1267376.000000
0001031849	20151002	145265.000000	-1677935.000000
1030474   	20150628	264978.000000	-3700997.000000
1030376   	20150612	65691.000000	-1880689.000000
1030237   	20150601	0	-22.000000
1030229   	20150531	172399.000000	-2456100.000000
1030125   	20150523	97731.000000	-1724035.000000
1029692   	20150510	176185.000000	-2303839.000000
1029588   	20150503	335552.000000	-4478585.000000
1029553   	20150420	174369.000000	-2419501.000000
1029225   	20150413	9579.000000	-112063.000000
1029110   	20150406	20287.000000	-238115.000000
1029079   	20150330	152726.000000	-2475030.000000
1028889   	20150323	171728.000000	-2869562.000000
1028797   	20150316	276235.000000	-3231485.000000
1028628   	20150302	132073.000000	-1545035.000000
1028092   	20150202	40719.000000	-494463.000000
1027890   	20150119	380329.000000	-4327388.000000
1027848   	20150115	80961.000000	-791079.000000
1027459   	20141220	137378.000000	-1607093.000000
1026970   	20141117	186533.000000	-2216095.000000
1026710   	20141027	187742.000000	-2723740.000000
1026429   	20141006	114460.000000	-1338994.000000
1026348   	20140929	166373.000000	-1197241.000000
1025345   	20140609	164393.000000	-2100667.000000
1025195   	20140519	202468.000000	-2327366.000000
1024899   	20140428	282105.000000	-3276860.000000
1024891   	20140425	19606.000000	-234603.000000
1024654   	20140402	195428.000000	-2138714.000000
1024491   	20140324	82088.000000	-928135.000000
1024344   	20140313	175520.000000	-1955521.000000
1024229   	20140303	235600.000000	-2801654.000000
1024067   	20140227	165648.000000	-1938328.000000
1023697   	20140129	165609.000000	-2031778.000000
1023396   	20140106	188461.000000	-2073411.000000
1023385   	20140103	96644.000000	-1094407.000000
1023084   	20131209	111235.000000	-1288235.000000
1023047   	20131203	354432.000000	-4103002.000000
1022694   	20131108	163979.000000	-1852183.000000
1021405   	20130715	8154.000000	-1.000000
1021399   	20130708	325298.000000	-3921150.000000
1021122   	20130624	186246.000000	-2080623.000000
1021115   	20130617	167850.000000	-2303022.000000
1020919   	20130603	313001.000000	-3502814.000000
1020634   	20130520	231030.000000	-2364024.000000
1020568   	20130519	148516.000000	-1982736.000000
1020355   	20130430	50291.000000	-611623.000000
1020244   	20130422	184987.000000	-2206100.000000
1020217   	20130415	204607.000000	-2536593.000000
1020023   	20130408	351458.000000	-4144990.000000
1019867   	20130325	209069.000000	-2058452.000000
1019789   	20130321	145071.000000	-2001891.000000
1019718   	20130318	52380.000000	-567038.000000
1019707   	20130317	70366.000000	-882849.000000
1019518   	20130225	289490.000000	-3868648.000000
1019428   	20130224	196309.000000	-2097642.000000
1019194   	20130209	104752.000000	-1323469.000000
1019109   	20130201	238088.000000	-2880030.000000
1018911   	20130121	167235.000000	-2050277.000000
1018837   	20130114	282082.000000	-3583514.000000
1018910   	20130114	98580.000000	-1352755.000000
1018830   	20130107	179163.000000	-2055585.000000
1018474   	20121217	29196.000000	-393141.000000
1018447   	20121210	259193.000000	-3240670.000000
1018238   	20121126	107322.000000	-1110904.000000
1018010   	20121119	159446.000000	-1611451.000000
1018002   	20121112	166073.000000	-1972936.000000
1017764   	20121105	18329.000000	-230313.000000
1017755   	20121029	207608.000000	-2458497.000000
1017609   	20121022	355179.000000	-4446334.000000
1017299   	20121001	116562.000000	-1456013.000000
1016233   	20120604	238170.000000	-3091915.000000
1016230   	20120530	149950.000000	-1953595.000000
1015991   	20120514	284907.000000	-3687973.000000
1015897   	20120507	176634.000000	-2511926.000000
1015574   	20120409	264237.000000	-3832125.000000
1015389   	20120319	167928.000000	-2066576.000000
1015209   	20120312	134932.000000	-1856832.000000
1014945   	20120227	70593.000000	-990122.000000
1014942   	20120220	230741.000000	-2896942.000000
1014744   	20120213	27102.000000	-350365.000000
1014828   	20120213	126940.000000	-1685027.000000
1014739   	20120206	232230.000000	-2878658.000000
1014580   	20120130	68473.000000	-708573.000000
1014676   	20120130	81572.000000	-1071032.000000
1014494   	20120123	28818.000000	-363985.000000
1014399   	20120116	144025.000000	-1890187.000000
1014488   	20120116	117917.000000	-1581327.000000
1014305   	20120109	53472.000000	-691299.000000
1014291   	20120102	232659.000000	-2877301.000000
1014089   	20111219	96180.000000	-1250808.000000
1013928   	20111212	198207.000000	-2416967.000000
1013840   	20111205	118465.000000	-1493437.000000
1013925   	20111205	65553.000000	-847487.000000
1013769   	20111128	71345.000000	-923218.000000
1013832   	20111128	165737.000000	-1857357.000000
1013674   	20111114	77590.000000	-986311.000000
1013689   	20111114	86618.000000	-1064964.000000
1013567   	20111107	171194.000000	-2262410.000000
1013469   	20111031	42499.000000	-524450.000000
1013375   	20111024	76614.000000	-969920.000000
1013256   	20111010	165746.000000	-2016524.000000
1012479   	20110626	151680.000000	-1972743.000000
1012392   	20110619	177579.000000	-1910287.000000
1012323   	20110612	256164.000000	-3418121.000000
1012299   	20110605	154886.000000	-1944959.000000
1012184   	20110601	114803.000000	-1416163.000000
1012059   	20110522	204128.000000	-3582130.000000
1012057   	20110515	20149.000000	-281848.000000
1011930   	20110508	144035.000000	-2095082.000000
1011717   	20110424	227730.000000	-2929341.000000
1011679   	20110421	39069.000000	-490705.000000
1011605   	20110417	151234.000000	-1946046.000000
1011530   	20110410	86663.000000	-1232401.000000
1011460   	20110403	325945.000000	-4729807.000000
1011394   	20110327	83515.000000	-1179455.000000
1011315   	20110320	166728.000000	-2676760.000000
1011360   	20110320	152699.000000	-2146923.000000
1011241   	20110318	234370.000000	-3391351.000000
1011233   	20110306	60614.000000	-838267.000000
1011137   	20110305	127842.000000	-1825485.000000
1011103   	20110303	155261.000000	-2075404.000000
1011035   	20110226	271637.000000	-3799045.000000
1010852   	20110206	189426.000000	-2988490.000000
1010795   	20110130	161808.000000	-2157724.000000
1010799   	20110130	117010.000000	-1281688.000000
1010654   	20110121	62952.000000	-773724.000000
1010624   	20110118	73089.000000	-1030105.000000
1010559   	20110111	124090.000000	-1820175.000000
1010498   	20110104	84571.000000	-1250697.000000
1010333   	20101214	152314.000000	-2452613.000000
1010259   	20101205	158959.000000	-2197848.000000
1010092   	20101121	121108.000000	-1902057.000000
1009959   	20101111	89266.000000	-1272909.000000
