,Card 1,Card 2,Card 3,sums
0,10,3,2,15
1,10,8,3,21
2,7,9,5,21
3,6,1,3,10
4,2,8,7,17
5,1,10,4,15
6,2,8,1,11
7,10,5,7,22
8,7,4,5,16
9,6,9,8,23
10,4,2,9,15
11,5,10,10,25
12,10,10,10,30
13,4,6,3,13
14,10,9,1,20
15,6,10,10,26
16,10,5,4,19
17,10,10,3,23
18,9,10,5,24
19,1,8,8,17
20,10,10,5,25
21,10,7,9,26
22,2,3,7,12
23,1,1,10,12
24,7,1,3,11
25,8,8,4,20
26,2,10,2,14
27,10,6,5,21
28,10,7,4,21
29,4,9,6,19
30,6,3,2,11
31,6,10,9,25
32,5,4,10,19
33,10,9,4,23
34,10,7,10,27
35,3,3,7,13
36,8,10,8,26
37,4,9,10,23
38,2,6,2,10
39,2,10,1,13
40,7,1,8,16
41,10,10,10,30
42,5,9,6,20
43,1,6,5,12
44,3,3,2,8
45,10,4,10,24
46,6,8,5,19
47,7,9,1,17
48,5,8,4,17
49,3,1,8,12
50,3,7,10,20
51,5,8,9,22
52,10,2,6,18
53,10,7,9,26
54,7,3,2,12
55,4,5,10,19
56,10,7,6,23
57,10,5,1,16
58,10,3,9,22
59,10,9,4,23
60,4,10,2,16
61,1,10,6,17
62,6,10,1,17
63,8,10,2,20
64,5,9,5,19
65,3,10,7,20
66,8,4,1,13
67,4,10,6,20
68,10,10,9,29
69,1,9,2,12
70,10,2,5,17
71,10,10,4,24
72,3,10,7,20
73,8,2,1,11
74,8,6,10,24
75,4,9,10,23
76,5,10,6,21
77,10,7,2,19
78,8,3,1,12
79,3,6,7,16
80,8,9,1,18
81,10,10,6,26
82,1,3,10,14
83,3,8,10,21
84,6,4,8,18
85,2,4,10,16
86,5,10,3,18
87,10,10,5,25
88,1,2,4,7
89,9,7,10,26
90,2,7,8,17
91,6,7,2,15
92,9,1,9,19
93,10,4,5,19
94,6,10,10,26
95,5,7,3,15
96,6,4,7,17
97,8,1,5,14
98,10,10,2,22
99,3,4,8,15
100,10,2,8,20
101,7,1,6,14
102,3,8,5,16
103,3,9,5,17
104,10,9,4,23
105,2,2,7,11
106,10,3,9,22
107,4,10,10,24
108,7,10,9,26
109,6,10,6,22
110,10,1,10,21
111,10,1,5,16
112,8,9,8,25
113,3,10,6,19
114,10,4,1,15
115,10,2,2,14
116,4,10,3,17
117,9,10,5,24
118,6,9,10,25
119,3,9,10,22
120,7,7,10,24
121,10,1,7,18
122,5,5,6,16
123,6,1,1,8
124,2,3,7,12
125,2,8,4,14
126,5,10,10,25
127,4,10,8,22
128,7,2,4,13
129,10,7,9,26
130,4,10,10,24
131,3,5,3,11
132,10,2,1,13
133,1,10,10,21
134,5,8,9,22
135,8,1,3,12
136,9,10,6,25
137,5,10,5,20
138,2,10,2,14
139,8,10,1,19
140,7,6,8,21
141,10,6,3,19
142,10,4,6,20
143,7,9,4,20
