ORDER	ITEM_NUMBER	ITEM_DESCRIPTION	LOT_NUMBER	REC_DATE	USED_DATE	VARIETY	BRIX	DECAY_JC	TGRAD	USAGE
0001031849	75000006       	APPLE/GOLD/JUICE/CONV         	268490              	20151002	20151001	GOLD           	14.300000	0	JC             	-41076.000000
0001031849	75000006       	APPLE/GOLD/JUICE/CONV         	270312              	20150929	20151001	GOLD           	0	0	JC             	-15485.000000
0001031849	75000006       	APPLE/GOLD/JUICE/CONV         	270317              	20150930	20151001	GOLD           	16.600000	0	JC             	-17876.000000
0001031849	75000006       	APPLE/GOLD/JUICE/CONV         	270636              	20150928	20151001	GOLD           	13.500000	0	JC             	-55970.000000
0001031849	75000006       	APPLE/GOLD/JUICE/CONV         	270655              	20150929	20151001	GOLD           	12.800000	0	JC             	-50930.000000
0001031849	75000006       	APPLE/GOLD/JUICE/CONV         	270669              	20150929	20151001	GOLD           	12.800000	0	JC             	-26593.000000
0001031849	75000006       	APPLE/GOLD/JUICE/CONV         	270672              	20150929	20151001	GOLD           	13.600000	0	JC             	-62020.000000
0001031849	75000006       	APPLE/GOLD/JUICE/CONV         	270680              	20150929	20151001	GOLD           	12.800000	0	JC             	-52430.000000
0001031849	75000006       	APPLE/GOLD/JUICE/CONV         	270696              	20150929	20151001	GOLD           	13.600000	0	JC             	-53790.000000
0001031849	75000006       	APPLE/GOLD/JUICE/CONV         	270697              	20150929	20151001	GOLD           	13.000000	0	JC             	-55550.000000
0001031849	75000529       	APPLE/HONEYCRISP/JUICE/CONV   	220231              	20150917	20151001	HONEY          	15.800000	0	JC             	-55740.000000
0001031849	75000529       	APPLE/HONEYCRISP/JUICE/CONV   	267847              	20150916	20151001	HONEY          	0	0	               	-17622.000000
0001031849	75000055       	APPLE/OTHER/PEELER/CONV       	267846              	20150916	20151001	OTHER          	0	NULL	               	-42998.000000
0001031849	75000090       	APPLE/MIXED/JUICE/CONV        	268030              	20150921	20151001	MIXED AP       	13.000000	0	JC             	-782.000000
0001031849	75000090       	APPLE/MIXED/JUICE/CONV        	268074              	20150922	20151001	MIXED AP       	14.600000	1.000000	JC             	-2339.000000
0001031849	75000090       	APPLE/MIXED/JUICE/CONV        	268078              	20150922	20151001	MIXED AP       	14.300000	0	JC             	-1567.000000
0001031849	75000090       	APPLE/MIXED/JUICE/CONV        	268096              	20150923	20151001	MIXED AP       	11.900000	1.000000	JC             	-3036.000000
0001031849	75000090       	APPLE/MIXED/JUICE/CONV        	270602              	20150928	20151001	MIXED AP       	15.000000	1.000000	JC             	-4743.000000
0001031849	75000090       	APPLE/MIXED/JUICE/CONV        	270686              	20150929	20151001	MIXED AP       	12.900000	0	JC             	-875.000000
0001031849	75000023       	APPLE/GALA/PEELER/CONV        	270685              	20150929	20151001	GALA           	15.900000	NULL	SP2            	-5247.000000
0001031849	75000011       	APPLE/GRANNY/PEELER/CONV      	270204              	20150921	20151001	GS             	12.300000	NULL	SP1            	-1685.000000
